제목,축제 기간,주소,비용,상세 내용
이월드 일루미네이션,2024.11.16 ~ 2025.02.20,대구광역시 달서구 두류공원로 200 (두류동),유료,"밤이 되면 본격적으로 시작하는 이월드 일루미네이션은 이번 일루미네이션 부제인 미라클 토이스토어에 따라 이월드 전역이 마법의 장난가게로 꾸며진다. 장난감 컨셉의 컬러풀한 마법의 빛과 환상이 가득한 빛의 공간으로 재탄생하였다.
이월드 일루미네이션에서는 <비비의 라이츠업>, <산타의 미라클 프레젠트>, <캐롤 포토 파티> 등 크리스마스를 느낄 수 있는 다양하고 신나는 공연부터, <산타의 정류장>, <포인포 매직 포토타임> 등 그리팅 이벤트를 통해 다채로운 볼거리를 제공한다. 또한 11월 16일 일루미네이션 그랜드 오픈 기념 겨울 밤하늘을 수놓는 화려한 불꽃쇼 <이월드 인더스타즈>도 준비되어 있다.
이월드 일루미네이션에서는 30여 종의 놀이기구도 함께 즐길 수 있다. 또한 83타워 전망대에서 바라보는 대구야경과 13만 평 전체가 빛으로 물들여진 이월드의 광경 또한 즐길 수 있다. 축제 기간 동안 매직 스테이션, 미라클 토이스토어, 다이나믹 힐, 우산로드, 빨간 2층버스, 회전목마 등 다양한 포토존들도 준비되어 있다.
[행사내용]
1. 메인공연
- 매지컬 타임 스타트 이월드 인더스타즈

2. 기타 즐길거리
- 캐롤포토파티, 포인포 매직 포토타임, 산타의 미라클 프레젠츠, 산타 정류장

3. 이용요금
(1) 종일 자유이용권
- 대인: 49,000원 / 청소년: 44,000원 / 어린이: 39,000원
(2) 야간 자유이용권
- 대인: 35,000원 / 청소년: 33,000원 / 어린이: 33,000원

* 할인정보 및 이외 정보는 이월드 홈페이지 참고
*자세한 행사내용은 이월드 인스타그램 @eworld.official 참조
*일부 행사는 현장상황에 따라 변경 및 취소될 수 있다."
휴애리 동백축제,2024.11.16 ~ 2025.01.31,제주특별자치도 서귀포시 남원읍 신례동로 256 휴애리 자연생활공원 공원내,유료,"휴애리 동백축제는 제주도에서 가장 로맨틱한 순간을 선사하는 축제로, 한 폭의 그림처럼 펼쳐진 붉은 동백꽃 물결을 경험할 수 있는 곳이다. 이 축제는 정성스럽게 가꾼 수많은 동백나무가 동백올레길, 동백정원, 동백온실등 공원 곳곳을 물들이며, 마치 동화 속 세상에 들어온 듯한 아름다운 풍경을 자아낸다. 이번 휴애리 동백축제는 전년도보다 더 화려하고 풍성하게 준비되어, 제주 여행의 필수 코스로 자리매김했다. 동백꽃 배경은 신혼여행, 웨딩스냅, 우정스냅 등 인생 사진을 찍기에 완벽한 장소로, 사랑하는 사람들과 함께 소중한 추억을 담아낼 수 있는 곳이다. 가족, 연인, 친구와 함께 공원을 거닐며, 동백 포토존에서 특별한 순간을 기록할 수 있다. 붉은 동백꽃 속에서의 추억은 오래도록 마음속에 간직될 것이다.
[행사내용]
상철체험프로그램
- 동물먹이주기체험(미니돼지, 산토끼, 염소, 말, 흑돼지등)
- 야생화 자연 학습체험
- 전통놀이체험 (돌탑쌓기, 투호던지기, 굴렁쇠 체험, 제기차기, 널뛰기 등)

요금
성 인:13,000원/단체:9,000원/도민:8,000원
청소년:11,000원/단체:8,000원/도민:7,000원
어린이:10,000원/단체:7,000원/도민:6,000원
경로/장애인/국가유공자/군인/경찰/소방관 단체요금 적용
단체요금 20명 부터 적용
35개월까지는 무료입장
* 제주특별자치도민, 장애인, 유공자, 군인, 경찰, 소방관은 반드시 신분증 및 증명서를 제시해야 합니다."
관악별빛산책,2024.11.11 ~ 2025.02.09,서울특별시 관악구 신림동 1642-7 별빛내린천,무료,"올 해로 네 번째 개최인 ‘관악별빛산책’은 서울시 자치구 내 하천을 이용한 유일한 조명축제이다. 총 3개월의 기간 동안 별빛내린천 봉림교부터 신림교 구간을 장식한다. 특히 올해 5월 준공이 완료된 수변테라스도 적극 활용하여 조명을 설치하고 별빛내린천을 꾸밀 예정이다. 올해 ‘관악별빛산책’은 ‘도심 속 별빛정원’이라는 부제로 따듯한 느낌을 주는 조명색과 조형물을 통해 별빛내린천을 장식할 예정이다. 나비와 꽃이 장식된 메인게이트를 시작으로, 10m 상당의 대형트리와 은하수를 유영하는 듯한 황금마차 그리고 곰조형물을 설치하여 겨울의 차가운 공기와 상반되는 따듯한 전시 공간을 조성할 계획이다. 또한 올해 처음 조명이 설치되는 수변테라스에는 소형트리를 설치하여 주민들이 잠시 쉬면서 숲 속 정원에 있는 듯한 느낌을 줄 계획이다.
[행사내용]
1. 메인프로그램 : 조명전시
2. 부대프로그램
- 점등식 개최: 2024. 11. 11.(월), 18:30, 별빛내린천 수변무대"
한림공원 국화축제,2024.11.10 ~ 2024.11.30,제주특별자치도 제주시 한림읍 한림로 300,"유료
성인 : 15,000원, 경로 : 12,000원
청소년 : 10,000원, 어린이 : 9,000원","만추의 계절을 맞이하여 제주 한림공원에서는 2024년 11월 10일부터 11월 30까지 제31회 국화 축제를 개최하고 있다. 한림공원 국화축제는 봄부터 사랑과 정성을 다해 정성껏 가꾸어온 50여 종 10,000여 점의 국화 작품이 어우러져 국화향 가득한 가을의 정취를 관람객들에게 선물할 예정이며, 국화로 만든 국화꽃 탑을 비롯하여 현애, 아치, 토피어리, 입국·다륜대작, 목부작, 석부작, 분재작 등 다양한 종류의 아름다운 국화꽃을 감상할 수 있다.
[행사내용]
산야초원 플라워 가든 내 국화꽃 탑, 아치, 토피어리, 석부작 등 전시"
마켓피어나인,2024.11.02 ~ 2024.12.15,경상북도 포항시 남구 구룡포읍 구룡포리 954-34 아라광장 일원,무료,"마켓피어나인은 구룡포의 선착에서 열리는 국내 최초의 부두 야시장이자 해양미식축제이다. 마켓피어9은 지역 상인들의 싱싱한 로컬 푸드와 포항 특산물 먹거리, 전국 최고의 푸드트럭, 마켓상인들이 함께하는 핸드메이드 제품과 체험 프로그램 등 다채로운 프로그램으로 구성되어있다. 관광, 이벤트, 다양한 공연까지 즐길거리 볼거리가 준비되어진 입과 눈, 그리고 귀까지 즐거운 포항 야시장이다.
[행사내용]
* 운영기간 : 매주 토,일 (2024.11.16~2024.11.17 휴장)

1. 먹거리 부스 : 지역 상인들의 싱싱한 로컬 푸드와 포항 특산물 먹거리 판매
2. 체험부스 : 마켓상인들이 함께하는 핸드메이드 제품 판매와 다양한 프로그램 체험
3. 푸드트럭 존 : 전국 최고의 푸드트럭에서 맛보는 먹거리
4. 무대 프로그램 : 눈과 귀를 즐겁게 해 줄 다양한 가수들의 공연과 버스킹 및 아트쇼
5. 시민 프로그램 : 구룡포 가요제, 룰렛 체험 등 다양한 이벤트"
부산스토리텔링축제 [안녕한 사하],2024.11.01 ~ 2024.11.29,부산광역시 연제구 중앙대로 1217 (거제동) 국제문화센터,무료,"부산스토리텔링축제는 지역 스토리를 활용한 온라인 문화축제로, 매년 다른 부산의 지역구를 주제로 개최된다. 2024년 부산스토리텔링축제는 강과 바다가 만나는 안녕한 그곳, 사하구에 관한 다채로운 이야기를 담았다. 축제의 대표 콘텐츠인 [사하 아카이브]를 통해 사하의 숨겨진 이야기를 들여다보고, [사하 스토리 탐방대]에 신청해 직접 몰운대 탐방을 다녀올 수도 있다. 올해는 사하의 옛 사진을 감상하는 [사하 갤러리]와 사하를 나타낼 키워드를 찾는 [사하 키워드 공모전] 등이 신설되어 더 다양한 콘텐츠를 즐길 수 있다.
[행사내용]
1. 사하 아카이브: 괴정, 구평, 신평, 장림 스토리텔링
2. 사하 갤러리: 감천, 다대, 당리, 하단의 옛 사진 만나기
3. 사하 스토리 탐방대: 직접 떠나는 몰운대 탐방
4. 사하 수필공모전: 2024 사하 수필공모전 수상작 미리 보기
5. 사하 키워드 공모전: 사하를 나타낼 키워드 공모
6. 사하 퀴즈: 사하에 자신 있는 사람들을 위한 퀴즈
7. 사하 초이스: 사하에 관한 알쏭달쏭 선택 게임
8. 축제 설문조사: 축제 경험 설문조사
9. 해시태그 이벤트: 인스타그램 개인 계정에 축제 소문내기"
청도 프로방스 빛축제,2024.11.01 ~ 2025.02.10,경상북도 청도군 화양읍 이슬미로 272-23,"13,000원(주중,주말, 대인기준)","1996년 청도 테마랜드로 오픈하였다. 2012년 청도프로방스 포토랜드로 새롭게 단장하여 여러분을 맞이한지 10년이 흘렀다.
프랑스의 정감있는 프로방스마을을 청도에 그대로 재현하였다. 투명한 햇살 아래 무르익은 포도, 광활하게 펼쳐진 보랏빛의 라벤더, 풍요로운 대자연 속에 독특한 문화와 예술이 살아 숨 쉬는 그 곳은 바로 프랑스 남동부 지역의 프로방스 마을이다. 고흐, 세잔, 샤갈, 마티스 등이 사랑한 그 곳 프로방스 마을로의 로맨틱한 여행과 빛축제를 즐길수 있는 곳이다. 낮에는 100여가지 다양한 포토존과 아기자기한 소품, 예쁜 집들이 여러분을 맞이하고 어둠이 내리면 눈부시게 빛나는 빛 축제로 변신하는 곳이다.
[행사내용]
글램핑, 사계절 썰매장 등을 이용할수 있다."
청도 프로방스 크리스마스 산타마을 빛축제,2024.11.01 ~ 2025.02.10,경상북도 청도군 화양읍 이슬미로 272-23 청도 프로방스,"13,000원(주중,주말, 대인,소인 공통)","1996년 청도 테마랜드로 오픈하였다. 2012년 청도프로방스 포토랜드로 새롭게 단장하였다.
프랑스의 정감있는 프로방스마을을 청도에 그대로 재현하였다. 풍요로운 대자연 속에 독특한 문화와 예술을 프랑스 남동부 지역의 프로방스 마을에서 즐길 수 있다. 프로방스 마을에서는 로맨틱한 여행과 빛축제를 즐길수 있다. 낮에는 100여가지 다양한 포토존과 아기자기한 소품, 예쁜 집들이 있고, 어둠이 내리면 빛축제를 즐길 수 있다.
겨울에는 아름다운 빛축제와 산타포토존의 콜라보 컨셉으로 축제가 열리는 곳이다. 청도 프로방스 크리스마스 산타마을 빛축제에서 산타클로스, 루돌프 사슴, 산타요정을 만날수 있다. 아름다게 빛나는 크리스마스 빛축제로 성탄 분위기를 느낄 수 있는 곳이다.
[행사내용]
- 글램핑 - 사계절 썰매장 등"
연제오방맛길 빛 축제,2024.10.25 ~ 2025.02.10,"부산광역시 연제구 고분로13번길 25 (연산동, 연산동 쌍용아파트)",무료,"2025 꿈을 여는 오방 빛 축제’를 주제로 열리는 이번 행사는 연제오방맛길의 특징을 담은 빛 조형물로 연말연시 오방맛길을 찾는 모든 주민에게 선물 같은 추억을 선사할 계획이다. 빛 거리는 연산동 오방맛길 일원(고분로 13번길, 고분로 31번길, 반송로 일원)에 조성되며 점등 시간은 17시부터 24시까지다. 빛 축제의 시작을 알리는 점등식은 10월 25일(금) 18시 20분 한창타워 앞 특설무대에서 개최된다.
[행사내용]
- 오방맛길 입구 게이트형, 행잉형, 터널형 등 빛 조형물 설치 운영"
제주민속촌 국화축제,2024.10.25 ~ 2024.11.24,제주특별자치도 서귀포시 표선면 민속해안로 631-34,유료,"깊어가는 가을 정취를 만끽하고 은은한 국화 향기에 취해볼 수 있는 축제가 10월 25일부터 11월 24일까지 한달 간 제주민속촌에서 개최된다. 축제 기간 동안 제주 전통초가와 다양한 국화를 배경으로 아름다운 인생샷을 남길 수 있는 감성 포토존을 설치하여 운영 할 계획이며 중산간촌과 제주영문 일대에서는 다채로운 색을 뽐내는 국화를 이용한 국화 꽃길을 조성하여 운영할 계획이다. 부대행사 기간동안 민속촌을 찾아 주시면 페이스페인팅과 광대와 함께하는 풍선놀이 등 가족이 함께 할 수 있는 체험프로그램과 제주민속 알기 스탬프투어 이벤트도 진행한다.
[행사내용]
1. 진행 프로그램
- 제주 전통초가와 다양한 국화를 배경으로 아름다운 인생샷을 남길 수 있는 감성 포토존을 설치
- 중산간촌과 제주영문 일대에서 다채로운 색을 뽐내는 국화를 이용한 국화 꽃길을 조성하여 운영
- 부대행사 기간동안에는 페이스페인팅과 광대와 함께하는 풍선놀이 등 가족이 함께 할 수 있는 체험프로그램과 제주민속 알기 스탬프투어 이벤트 진행

2. 이용요금
- 성인(대학생 포함): 15,000원
- 경로(65세 이상): 13,000원
- 청소년(중,고등학생) 및 군경: 12,000원
- 어린이(만4세이상~초등학생): 11,000원
* 제주도민, 국가유공자, 장애인 30% 할인"
